Eind,Bloemendaalse polder,De Dintel,De Halse Vliet,Den Biggelaar,Endekweek,Geluk,Goudbloem,Haagse Beemden,Heerjansland/Zellebergen,Hoge Vucht,Hogediep,Laakdijk/Schuivenoord,Leurschans,Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Tonnekreek,Triangelpolder/Kruisland,Visvliet,Vuchtpolder,Westpolder,Willemspolder,Zonzeel,Zwartenbergse polder
2016-02-22,8.8286,8.5349,8.3904,8.9955,7.5070000000000014,5.9555,6.9725,7.4467,6.671,7.1457,5.4503,8.089,6.4245,5.9834,7.6675,9.6515,6.6323,5.6275,7.539,7.9477,6.5396,9.4332,8.7343
2016-02-23,1.9178,1.1326,2.752,2.6483,1.409,2.3138,0.9936,2.9883,1.7648,4.6224,1.5659999999999998,5.9745,1.1265,1.9137,3.5591,0.9753,0.7801,0.682,5.2924,2.2161,2.5078,6.3289,2.6377
2016-02-24,0.7513,1.2697,0.5394,0.6526,0.9457,0.8974,0.9688,0.57,0.8219,0.9284,0.6806,0.7112,0.5891,0.8752,1.25,1.2930000000000001,0.4778,0.8478,1.0182,0.8706,1.1808,0.5,0.5777
2016-02-25,3.2308,4.2399,3.4034,3.2035,3.1002,3.4299,3.1198,2.7975,2.6466,2.1024,2.1656,2.3416,1.7536,2.7689999999999997,2.6406,3.7303,1.2382,2.2154,2.1223,3.3018,4.0339,1.8814,3.5554
2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,6.6324,6.2308,8.3974,7.56,7.0771,5.6797,6.8462,8.5883,6.3481,8.4462,5.386,7.7487,5.3561,5.522,8.5758,6.5799,5.224,5.53,8.1426,7.3602,5.645,6.9093,7.8618
2016-03-02,13.5194,12.960999999999999,14.2383,13.5279,14.2089,11.6446,13.8312,12.9971,14.4755,12.540999999999999,10.3437,11.3845,11.7707,12.8765,12.7957,13.7028,13.3796,12.9152,12.0576,15.0095,12.4592,12.745,14.2386
2016-03-03,0.5963,0.5475,0.4625,0.7643,0.3692,0.4055,0.3356,0.7338,0.5232,1.0444,0.6003,1.4185,0.8579,0.4209,0.8261,0.6464,1.0258,0.3593,0.9841,0.4346,0.3817,1.2208,0.5764
2016-03-04,9.1796,9.1067,10.5701,10.4947,9.5043,8.4667,8.9271,11.7589,8.7637,11.594000000000001,7.7679,11.6527,7.8164,8.6466,11.4068,9.4722,8.1209,8.51,11.7231,10.2093,8.767000000000001,11.2595,10.4538
2016-03-05,0.0,0.0,0.2976,0.0602,0.0316,0.0,0.0,0.8489,0.0,0.7676,0.0,0.5663,0.0,0.0,0.4535,0.0,0.0036,0.0,0.9445,0.2462,0.0,0.0859,0.1521
2016-03-06,4.4385,1.5044,3.3431,3.7926,3.6417,2.0182,3.9132,1.7865,2.0228,0.9632,2.8077,1.6908,2.7847,1.9743,2.3991,2.3712,2.1512,2.7230000000000003,1.1107,2.6792,1.8729,1.443,3.5533
2016-03-07,1.9048,2.8976,2.1072,2.4695,1.1407,3.7017,0.537,0.9543,1.4616,1.3041,3.5877,1.4649,3.0378,2.3707,1.7715,2.4167,2.8786,1.7923,1.0817,1.3773,3.8198,1.6798,2.2113
2016-03-08,0.8891,0.4774,1.0454,1.0682,0.8165,0.3488,0.7455,0.7336,0.4898,0.7168,0.0358,0.6579999999999999,0.0909,0.134,1.2316,0.6861,0.5625,0.1595,0.8855,0.8458,0.3546,0.4596,1.3023
2016-03-09,0.0001,0.0002,0.0081,0.0147,0.0,0.159,0.0,0.0,0.0,0.0,0.4463,0.0,0.3822,0.0413,0.0,0.0,0.1653,0.32299999999999995,0.0,0.0091,0.0084,0.0,0.0633
2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-12,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
